orientador,n_total,n_assigned,coverage
"ALMEIDA, Hyggo Oliveira de.",5,4.0,0.8
"ALVES, Everton Leandro Galdino.",13,9.0,0.6923076923076923
"ANDRADE, Nazareno Ferreira de.",5,4.0,0.8
"ANDRADE, Wilkerson de Lucena.",11,9.0,0.8181818181818182
"ARAÚJO, Elaine Cristina de.",1,1.0,1.0
"ARAÚJO, Eliane Cristina de.",11,8.0,0.7272727272727273
"ARAÚJO, Joseana Macêdo Fechine Régis de.",14,13.0,0.9285714285714286
"BAPTISTA, Cláudio de Souza.",19,17.0,0.8947368421052632
"BARROS, Marcelo Alves de.",8,7.0,0.875
"BRASILEIRO, Francisco Vilar.",8,7.0,0.875
"BRITO, Andrey Elísio Monteiro.",12,12.0,1.0
"BRUNET, João Arthur Monteiro.",10,10.0,1.0
"CAMPELO, Claudio Elízio Calazans.",27,22.0,0.8148148148148148
"CAMPOS, Lívia Maria Rodrigues Sampaio",1,1.0,1.0
"CAMPOS, Lívia Maria Rodrigues Sampaio.",12,12.0,1.0
"CAMPOS, Lívia Maria Sampaio.",2,1.0,0.5
"FARIA, Roberto Medeiros de.",1,1.0,1.0
"FARIAS, Adalberto Cajueiro de.",7,4.0,0.5714285714285714
"FECHINE, Joseana Macêdo.",5,4.0,0.8
"GARCIA, Franceline Procópio.",2,2.0,1.0
"GARCIA, Francilene Procópio.",8,8.0,1.0
"GHEYI, Rohit",1,0.0,0.0
"GHEYI, Rohit Gheyi.",2,2.0,1.0
"GHEYI, Rohit.",10,10.0,1.0
"GOMES, Herman Martins.",27,23.0,0.8518518518518519
"GOMES, Reinaldo Cézar de Morais.",6,5.0,0.8333333333333334
"GORGÔNIO, Kyller Costa.",2,2.0,1.0
"GUERRERO, Dalton Dario Serey.",4,2.0,0.5
"LIRA, Melina Mongiovi Brito.",4,4.0,1.0
"MARINHO, Leandro Balby.",9,7.0,0.7777777777777778
"MASSONI, Tiago Lima.",34,30.0,0.8823529411764706
"MELCHER, Elmar Uwe Kurt.",2,1.0,0.5
"MONGIOVI, Melina.",3,1.0,0.3333333333333333
"MONTEIRO, João Arthur Brunet.",16,15.0,0.9375
"MORAES, Fábio Jorge Almeida.",1,1.0,1.0
"MORAIS, Fábio Jorge Almeida.",23,19.0,0.8260869565217391
"MOURA, José Antão Beltrão.",17,16.0,0.9411764705882353
"Marinho, Leandro Balby",1,1.0,1.0
"NICOLLETTI, Pedro Sergio.",1,1.0,1.0
"OLIVEIRA, Maxwell Guimarães de.",5,5.0,1.0
"PEREIRA, Eanes Torres.",10,7.0,0.7
"PEREIRA, Thiago Emmanuel da Cunha Silva.",2,2.0,1.0
"PEREIRA, Thiago Emmanuel.",3,2.0,0.6666666666666666
"PIRES, Carlos Eduardo Santos.",10,9.0,0.9
"PROCÓPIO, Francilene García.",1,1.0,1.0
"RAMALHO, Franklin de Souza.",11,11.0,1.0
"REGO, Matheus Gaudêncio de.",1,0.0,0.0
"RÊGO, Matheus Gaudencio do.",7,6.0,0.8571428571428571
"SABINO, Melina Mongiovi Cunha Lima.",6,5.0,0.8333333333333334
"SAMPAIO, Lívia Maria Rodrigues Sampaio.",1,1.0,1.0
"SILVA, Emmanuel Pereira da Cunha.",1,1.0,1.0
"SILVA, Thiago Emmanuel Pereira da Cunha.",20,16.0,0.8
