topic,topic_label,orientador,P_orientador_given_topic,n_docs_topic,n_docs_orientador_assigned
0,0_modelos_dados_linguagem_imagens,"GOMES, Herman Martins.",0.11038961038961038,52,23
0,0_modelos_dados_linguagem_imagens,"CAMPELO, Claudio Elízio Calazans.",0.09740259740259741,52,22
0,0_modelos_dados_linguagem_imagens,"MARINHO, Leandro Balby.",0.05844155844155844,52,7
0,0_modelos_dados_linguagem_imagens,"MORAIS, Fábio Jorge Almeida.",0.05844155844155844,52,19
0,0_modelos_dados_linguagem_imagens,"ARAÚJO, Joseana Macêdo Fechine Régis de.",0.045454545454545456,52,13
0,0_modelos_dados_linguagem_imagens,"GHEYI, Rohit.",0.045454545454545456,52,10
0,0_modelos_dados_linguagem_imagens,"MASSONI, Tiago Lima.",0.045454545454545456,52,30
0,0_modelos_dados_linguagem_imagens,"BAPTISTA, Cláudio de Souza.",0.032467532467532464,52,17
0,0_modelos_dados_linguagem_imagens,"GHEYI, Rohit Gheyi.",0.032467532467532464,52,2
0,0_modelos_dados_linguagem_imagens,"MONTEIRO, João Arthur Brunet.",0.032467532467532464,52,15
0,0_modelos_dados_linguagem_imagens,"RAMALHO, Franklin de Souza.",0.032467532467532464,52,11
0,0_modelos_dados_linguagem_imagens,"ALVES, Everton Leandro Galdino.",0.01948051948051948,52,9
0,0_modelos_dados_linguagem_imagens,"ANDRADE, Nazareno Ferreira de.",0.01948051948051948,52,4
0,0_modelos_dados_linguagem_imagens,"BRITO, Andrey Elísio Monteiro.",0.01948051948051948,52,12
0,0_modelos_dados_linguagem_imagens,"BRUNET, João Arthur Monteiro.",0.01948051948051948,52,10
0,0_modelos_dados_linguagem_imagens,"CAMPOS, Lívia Maria Rodrigues Sampaio",0.01948051948051948,52,1
0,0_modelos_dados_linguagem_imagens,"CAMPOS, Lívia Maria Rodrigues Sampaio.",0.01948051948051948,52,12
0,0_modelos_dados_linguagem_imagens,"MELCHER, Elmar Uwe Kurt.",0.01948051948051948,52,1
0,0_modelos_dados_linguagem_imagens,"MOURA, José Antão Beltrão.",0.01948051948051948,52,16
0,0_modelos_dados_linguagem_imagens,"Marinho, Leandro Balby",0.01948051948051948,52,1
0,0_modelos_dados_linguagem_imagens,"OLIVEIRA, Maxwell Guimarães de.",0.01948051948051948,52,5
0,0_modelos_dados_linguagem_imagens,"PEREIRA, Eanes Torres.",0.01948051948051948,52,7
0,0_modelos_dados_linguagem_imagens,"SILVA, Thiago Emmanuel Pereira da Cunha.",0.01948051948051948,52,16
0,0_modelos_dados_linguagem_imagens,"ALMEIDA, Hyggo Oliveira de.",0.006493506493506494,52,4
0,0_modelos_dados_linguagem_imagens,"ANDRADE, Wilkerson de Lucena.",0.006493506493506494,52,9
0,0_modelos_dados_linguagem_imagens,"ARAÚJO, Elaine Cristina de.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"ARAÚJO, Eliane Cristina de.",0.006493506493506494,52,8
0,0_modelos_dados_linguagem_imagens,"BARROS, Marcelo Alves de.",0.006493506493506494,52,7
0,0_modelos_dados_linguagem_imagens,"BRASILEIRO, Francisco Vilar.",0.006493506493506494,52,7
0,0_modelos_dados_linguagem_imagens,"CAMPOS, Lívia Maria Sampaio.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"FARIA, Roberto Medeiros de.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"FARIAS, Adalberto Cajueiro de.",0.006493506493506494,52,4
0,0_modelos_dados_linguagem_imagens,"FECHINE, Joseana Macêdo.",0.006493506493506494,52,4
0,0_modelos_dados_linguagem_imagens,"GARCIA, Franceline Procópio.",0.006493506493506494,52,2
0,0_modelos_dados_linguagem_imagens,"GARCIA, Francilene Procópio.",0.006493506493506494,52,8
0,0_modelos_dados_linguagem_imagens,"GOMES, Reinaldo Cézar de Morais.",0.006493506493506494,52,5
0,0_modelos_dados_linguagem_imagens,"GORGÔNIO, Kyller Costa.",0.006493506493506494,52,2
0,0_modelos_dados_linguagem_imagens,"GUERRERO, Dalton Dario Serey.",0.006493506493506494,52,2
0,0_modelos_dados_linguagem_imagens,"LIRA, Melina Mongiovi Brito.",0.006493506493506494,52,4
0,0_modelos_dados_linguagem_imagens,"MONGIOVI, Melina.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"MORAES, Fábio Jorge Almeida.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"NICOLLETTI, Pedro Sergio.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"PEREIRA, Thiago Emmanuel da Cunha Silva.",0.006493506493506494,52,2
0,0_modelos_dados_linguagem_imagens,"PEREIRA, Thiago Emmanuel.",0.006493506493506494,52,2
0,0_modelos_dados_linguagem_imagens,"PIRES, Carlos Eduardo Santos.",0.006493506493506494,52,9
0,0_modelos_dados_linguagem_imagens,"PROCÓPIO, Francilene García.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"RÊGO, Matheus Gaudencio do.",0.006493506493506494,52,6
0,0_modelos_dados_linguagem_imagens,"SABINO, Melina Mongiovi Cunha Lima.",0.006493506493506494,52,5
0,0_modelos_dados_linguagem_imagens,"SAMPAIO, Lívia Maria Rodrigues Sampaio.",0.006493506493506494,52,1
0,0_modelos_dados_linguagem_imagens,"SILVA, Emmanuel Pereira da Cunha.",0.006493506493506494,52,1
1,1_nuvem_recursos_dados_sistema,"SILVA, Thiago Emmanuel Pereira da Cunha.",0.125,51,16
1,1_nuvem_recursos_dados_sistema,"MORAIS, Fábio Jorge Almeida.",0.08552631578947369,51,19
1,1_nuvem_recursos_dados_sistema,"BRITO, Andrey Elísio Monteiro.",0.07236842105263158,51,12
1,1_nuvem_recursos_dados_sistema,"GOMES, Reinaldo Cézar de Morais.",0.07236842105263158,51,5
1,1_nuvem_recursos_dados_sistema,"BAPTISTA, Cláudio de Souza.",0.046052631578947366,51,17
1,1_nuvem_recursos_dados_sistema,"CAMPELO, Claudio Elízio Calazans.",0.046052631578947366,51,22
1,1_nuvem_recursos_dados_sistema,"ARAÚJO, Joseana Macêdo Fechine Régis de.",0.03289473684210526,51,13
1,1_nuvem_recursos_dados_sistema,"BRUNET, João Arthur Monteiro.",0.03289473684210526,51,10
1,1_nuvem_recursos_dados_sistema,"GOMES, Herman Martins.",0.03289473684210526,51,23
1,1_nuvem_recursos_dados_sistema,"MOURA, José Antão Beltrão.",0.03289473684210526,51,16
1,1_nuvem_recursos_dados_sistema,"PEREIRA, Thiago Emmanuel da Cunha Silva.",0.03289473684210526,51,2
1,1_nuvem_recursos_dados_sistema,"ANDRADE, Wilkerson de Lucena.",0.019736842105263157,51,9
1,1_nuvem_recursos_dados_sistema,"CAMPOS, Lívia Maria Rodrigues Sampaio.",0.019736842105263157,51,12
1,1_nuvem_recursos_dados_sistema,"GORGÔNIO, Kyller Costa.",0.019736842105263157,51,2
1,1_nuvem_recursos_dados_sistema,"MARINHO, Leandro Balby.",0.019736842105263157,51,7
1,1_nuvem_recursos_dados_sistema,"MASSONI, Tiago Lima.",0.019736842105263157,51,30
1,1_nuvem_recursos_dados_sistema,"MONGIOVI, Melina.",0.019736842105263157,51,1
1,1_nuvem_recursos_dados_sistema,"MONTEIRO, João Arthur Brunet.",0.019736842105263157,51,15
1,1_nuvem_recursos_dados_sistema,"PEREIRA, Eanes Torres.",0.019736842105263157,51,7
1,1_nuvem_recursos_dados_sistema,"PEREIRA, Thiago Emmanuel.",0.019736842105263157,51,2
1,1_nuvem_recursos_dados_sistema,"SILVA, Emmanuel Pereira da Cunha.",0.019736842105263157,51,1
1,1_nuvem_recursos_dados_sistema,"ALMEIDA, Hyggo Oliveira de.",0.006578947368421052,51,4
1,1_nuvem_recursos_dados_sistema,"ALVES, Everton Leandro Galdino.",0.006578947368421052,51,9
1,1_nuvem_recursos_dados_sistema,"ANDRADE, Nazareno Ferreira de.",0.006578947368421052,51,4
1,1_nuvem_recursos_dados_sistema,"ARAÚJO, Elaine Cristina de.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"ARAÚJO, Eliane Cristina de.",0.006578947368421052,51,8
1,1_nuvem_recursos_dados_sistema,"BARROS, Marcelo Alves de.",0.006578947368421052,51,7
1,1_nuvem_recursos_dados_sistema,"BRASILEIRO, Francisco Vilar.",0.006578947368421052,51,7
1,1_nuvem_recursos_dados_sistema,"CAMPOS, Lívia Maria Rodrigues Sampaio",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"CAMPOS, Lívia Maria Sampaio.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"FARIA, Roberto Medeiros de.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"FARIAS, Adalberto Cajueiro de.",0.006578947368421052,51,4
1,1_nuvem_recursos_dados_sistema,"FECHINE, Joseana Macêdo.",0.006578947368421052,51,4
1,1_nuvem_recursos_dados_sistema,"GARCIA, Franceline Procópio.",0.006578947368421052,51,2
1,1_nuvem_recursos_dados_sistema,"GARCIA, Francilene Procópio.",0.006578947368421052,51,8
1,1_nuvem_recursos_dados_sistema,"GHEYI, Rohit Gheyi.",0.006578947368421052,51,2
1,1_nuvem_recursos_dados_sistema,"GHEYI, Rohit.",0.006578947368421052,51,10
1,1_nuvem_recursos_dados_sistema,"GUERRERO, Dalton Dario Serey.",0.006578947368421052,51,2
1,1_nuvem_recursos_dados_sistema,"LIRA, Melina Mongiovi Brito.",0.006578947368421052,51,4
1,1_nuvem_recursos_dados_sistema,"MELCHER, Elmar Uwe Kurt.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"MORAES, Fábio Jorge Almeida.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"Marinho, Leandro Balby",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"NICOLLETTI, Pedro Sergio.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"OLIVEIRA, Maxwell Guimarães de.",0.006578947368421052,51,5
1,1_nuvem_recursos_dados_sistema,"PIRES, Carlos Eduardo Santos.",0.006578947368421052,51,9
1,1_nuvem_recursos_dados_sistema,"PROCÓPIO, Francilene García.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"RAMALHO, Franklin de Souza.",0.006578947368421052,51,11
1,1_nuvem_recursos_dados_sistema,"RÊGO, Matheus Gaudencio do.",0.006578947368421052,51,6
1,1_nuvem_recursos_dados_sistema,"SABINO, Melina Mongiovi Cunha Lima.",0.006578947368421052,51,5
1,1_nuvem_recursos_dados_sistema,"SAMPAIO, Lívia Maria Rodrigues Sampaio.",0.006578947368421052,51,1
