orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic,n_total,coverage
"ALMEIDA, Hyggo Oliveira de.",5,5_sade_animais_pandemia_dados,0.2631578947368421,0.947381318944186,5,4,0.8,37,5,0.8
"ALMEIDA, Hyggo Oliveira de.",6,6_software_empresas_objetivo_vulnerabilidades,0.15789473684210525,0.5199373041172464,5,4,0.8,34,5,0.8
"ALMEIDA, Hyggo Oliveira de.",3,3_software_projetos_cdigo_bugs,0.15789473684210525,0.31139255222418927,5,4,0.8,42,5,0.8
"ALVES, Everton Leandro Galdino.",6,6_software_empresas_objetivo_vulnerabilidades,0.2413793103448276,0.9443783136844166,13,9,0.6923076923076923,34,13,0.6923076923076923
"ALVES, Everton Leandro Galdino.",3,3_software_projetos_cdigo_bugs,0.2413793103448276,0.7358335617913594,13,9,0.6923076923076923,42,13,0.6923076923076923
"ALVES, Everton Leandro Galdino.",5,5_sade_animais_pandemia_dados,0.10344827586206896,0.013698844358161927,13,9,0.6923076923076923,37,13,0.6923076923076923
"ANDRADE, Nazareno Ferreira de.",4,4_dados_digital_sobre_privacidade,0.2631578947368421,0.895421580013475,5,4,0.8,39,5,0.8
"ANDRADE, Nazareno Ferreira de.",5,5_sade_animais_pandemia_dados,0.15789473684210525,0.4365556951781954,5,4,0.8,37,5,0.8
"ANDRADE, Nazareno Ferreira de.",0,0_modelos_dados_linguagem_imagens,0.15789473684210525,0.10008345855698263,5,4,0.8,52,5,0.8
"ANDRADE, Wilkerson de Lucena.",6,6_software_empresas_objetivo_vulnerabilidades,0.2413793103448276,0.9443783136844166,11,9,0.8181818181818182,34,11,0.8181818181818182
"ANDRADE, Wilkerson de Lucena.",5,5_sade_animais_pandemia_dados,0.1724137931034483,0.5245244681241527,11,9,0.8181818181818182,37,11,0.8181818181818182
"ANDRADE, Wilkerson de Lucena.",2,2_alunos_computao_programao_sistema,0.1724137931034483,0.3533762119283232,11,9,0.8181818181818182,44,11,0.8181818181818182
"ARAÚJO, Eliane Cristina de.",2,2_alunos_computao_programao_sistema,0.25925925925925924,0.7613074125316809,11,8,0.7272727272727273,44,11,0.7272727272727273
"ARAÚJO, Eliane Cristina de.",6,6_software_empresas_objetivo_vulnerabilidades,0.18518518518518517,0.6793650410453486,11,8,0.7272727272727273,34,11,0.7272727272727273
"ARAÚJO, Eliane Cristina de.",9,9_ensino_alunos_atividades_evaso,0.1111111111111111,0.968658717391471,11,8,0.7272727272727273,15,11,0.7272727272727273
"ARAÚJO, Joseana Macêdo Fechine Régis de.",5,5_sade_animais_pandemia_dados,0.1891891891891892,0.6173746220876152,14,13,0.9285714285714286,37,14,0.9285714285714286
"ARAÚJO, Joseana Macêdo Fechine Régis de.",0,0_modelos_dados_linguagem_imagens,0.1891891891891892,0.28090238546640234,14,13,0.9285714285714286,52,14,0.9285714285714286
"ARAÚJO, Joseana Macêdo Fechine Régis de.",9,9_ensino_alunos_atividades_evaso,0.13513513513513514,1.1644032945175664,14,13,0.9285714285714286,15,14,0.9285714285714286
"BAPTISTA, Cláudio de Souza.",8,8_dados_meio_aplicativos_anlise,0.24444444444444444,1.6945957207744073,19,17,0.8947368421052632,16,19,0.8947368421052632
"BAPTISTA, Cláudio de Souza.",1,1_nuvem_recursos_dados_sistema,0.15555555555555556,0.10438917026819447,19,17,0.8947368421052632,51,19,0.8947368421052632
"BAPTISTA, Cláudio de Souza.",4,4_dados_digital_sobre_privacidade,0.1111111111111111,0.03319806940959562,19,17,0.8947368421052632,39,19,0.8947368421052632
