orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic
"ALMEIDA, Hyggo Oliveira de.",5,5_sade_animais_pandemia_dados,0.2631578947368421,0.947381318944186,5,4,0.8,37
"ALMEIDA, Hyggo Oliveira de.",3,3_software_projetos_cdigo_bugs,0.15789473684210525,0.31139255222418927,5,4,0.8,42
"ALMEIDA, Hyggo Oliveira de.",6,6_software_empresas_objetivo_vulnerabilidades,0.15789473684210525,0.5199373041172464,5,4,0.8,34
"ALMEIDA, Hyggo Oliveira de.",0,0_modelos_dados_linguagem_imagens,0.05263157894736842,-0.9985288301111273,5,4,0.8,52
"ALMEIDA, Hyggo Oliveira de.",1,1_nuvem_recursos_dados_sistema,0.05263157894736842,-0.9792974681832396,5,4,0.8,51
"ALMEIDA, Hyggo Oliveira de.",2,2_alunos_computao_programao_sistema,0.05263157894736842,-0.8332048496857436,5,4,0.8,44
"ALMEIDA, Hyggo Oliveira de.",4,4_dados_digital_sobre_privacidade,0.05263157894736842,-0.7140163324206253,5,4,0.8,39
"ALMEIDA, Hyggo Oliveira de.",7,7_dados_logs_sistemas_banco,0.05263157894736842,0.10008345855698263,5,4,0.8,17
"ALMEIDA, Hyggo Oliveira de.",8,8_dados_meio_aplicativos_anlise,0.05263157894736842,0.15892395857991598,5,4,0.8,16
"ALMEIDA, Hyggo Oliveira de.",9,9_ensino_alunos_atividades_evaso,0.05263157894736842,0.22144431556125008,5,4,0.8,15
"ALMEIDA, Hyggo Oliveira de.",10,10_oratio_projeto_solid_clean,0.05263157894736842,0.22144431556125008,5,4,0.8,15
"ALVES, Everton Leandro Galdino.",3,3_software_projetos_cdigo_bugs,0.2413793103448276,0.7358335617913594,13,9,0.6923076923076923,42
"ALVES, Everton Leandro Galdino.",6,6_software_empresas_objetivo_vulnerabilidades,0.2413793103448276,0.9443783136844166,13,9,0.6923076923076923,34
"ALVES, Everton Leandro Galdino.",0,0_modelos_dados_linguagem_imagens,0.10344827586206896,-0.322773392263051,13,9,0.6923076923076923,52
"ALVES, Everton Leandro Galdino.",2,2_alunos_computao_programao_sistema,0.10344827586206896,-0.15744941183766753,13,9,0.6923076923076923,44
"ALVES, Everton Leandro Galdino.",5,5_sade_animais_pandemia_dados,0.10344827586206896,0.013698844358161927,13,9,0.6923076923076923,37
"ALVES, Everton Leandro Galdino.",1,1_nuvem_recursos_dados_sistema,0.034482758620689655,-1.402154319003273,13,9,0.6923076923076923,51
"ALVES, Everton Leandro Galdino.",4,4_dados_digital_sobre_privacidade,0.034482758620689655,-1.136873183240659,13,9,0.6923076923076923,39
"ALVES, Everton Leandro Galdino.",7,7_dados_logs_sistemas_banco,0.034482758620689655,-0.322773392263051,13,9,0.6923076923076923,17
"ALVES, Everton Leandro Galdino.",8,8_dados_meio_aplicativos_anlise,0.034482758620689655,-0.26393289224011757,13,9,0.6923076923076923,16
"ALVES, Everton Leandro Galdino.",9,9_ensino_alunos_atividades_evaso,0.034482758620689655,-0.20141253525878347,13,9,0.6923076923076923,15
"ALVES, Everton Leandro Galdino.",10,10_oratio_projeto_solid_clean,0.034482758620689655,-0.20141253525878347,13,9,0.6923076923076923,15
"ANDRADE, Nazareno Ferreira de.",4,4_dados_digital_sobre_privacidade,0.2631578947368421,0.895421580013475,5,4,0.8,39
"ANDRADE, Nazareno Ferreira de.",0,0_modelos_dados_linguagem_imagens,0.15789473684210525,0.10008345855698263,5,4,0.8,52
"ANDRADE, Nazareno Ferreira de.",5,5_sade_animais_pandemia_dados,0.15789473684210525,0.4365556951781954,5,4,0.8,37
