orientador,ANO,topic,topic_label,P_topic_given_orientador_year,n_docs_orientador_year
"ALVES, Everton Leandro Galdino.",2023,6,6_software_empresas_objetivo_vulnerabilidades,0.2692307692307692,7
"ANDRADE, Nazareno Ferreira de.",2021,4,4_dados_digital_sobre_privacidade,0.25,4
"ANDRADE, Wilkerson de Lucena.",2023,1,1_nuvem_recursos_dados_sistema,0.15,4
"ARAÚJO, Eliane Cristina de.",2023,2,2_alunos_computao_programao_sistema,0.16666666666666666,3
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2021,1,1_nuvem_recursos_dados_sistema,0.25,4
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2022,0,0_modelos_dados_linguagem_imagens,0.22727272727272727,5
"BAPTISTA, Cláudio de Souza.",2021,1,1_nuvem_recursos_dados_sistema,0.15,4
"BAPTISTA, Cláudio de Souza.",2022,0,0_modelos_dados_linguagem_imagens,0.15,4
"BAPTISTA, Cláudio de Souza.",2024,1,1_nuvem_recursos_dados_sistema,0.19230769230769232,7
"BARROS, Marcelo Alves de.",2023,5,5_sade_animais_pandemia_dados,0.25,4
"BRITO, Andrey Elísio Monteiro.",2021,2,2_alunos_computao_programao_sistema,0.16666666666666666,3
"BRITO, Andrey Elísio Monteiro.",2022,1,1_nuvem_recursos_dados_sistema,0.2777777777777778,3
"BRITO, Andrey Elísio Monteiro.",2023,1,1_nuvem_recursos_dados_sistema,0.25,4
"BRUNET, João Arthur Monteiro.",2023,1,1_nuvem_recursos_dados_sistema,0.19230769230769232,7
"BRUNET, João Arthur Monteiro.",2024,0,0_modelos_dados_linguagem_imagens,0.16666666666666666,3
"CAMPELO, Claudio Elízio Calazans.",2021,0,0_modelos_dados_linguagem_imagens,0.15,4
"CAMPELO, Claudio Elízio Calazans.",2022,0,0_modelos_dados_linguagem_imagens,0.25,4
"CAMPELO, Claudio Elízio Calazans.",2023,0,0_modelos_dados_linguagem_imagens,0.21875,10
"CAMPELO, Claudio Elízio Calazans.",2024,0,0_modelos_dados_linguagem_imagens,0.15,4
"CAMPOS, Lívia Maria Rodrigues Sampaio.",2021,0,0_modelos_dados_linguagem_imagens,0.16666666666666666,3
"CAMPOS, Lívia Maria Rodrigues Sampaio.",2022,1,1_nuvem_recursos_dados_sistema,0.16666666666666666,3
"CAMPOS, Lívia Maria Rodrigues Sampaio.",2024,2,2_alunos_computao_programao_sistema,0.2777777777777778,3
"FECHINE, Joseana Macêdo.",2023,2,2_alunos_computao_programao_sistema,0.16666666666666666,3
"GARCIA, Francilene Procópio.",2022,2,2_alunos_computao_programao_sistema,0.15,4
"GHEYI, Rohit.",2020,10,10_oratio_projeto_solid_clean,0.3888888888888889,3
"GHEYI, Rohit.",2024,3,3_software_projetos_cdigo_bugs,0.35,4
"GOMES, Herman Martins.",2020,10,10_oratio_projeto_solid_clean,0.35,4
"GOMES, Herman Martins.",2022,0,0_modelos_dados_linguagem_imagens,0.15,4
"GOMES, Herman Martins.",2023,0,0_modelos_dados_linguagem_imagens,0.39285714285714285,8
"GOMES, Herman Martins.",2024,0,0_modelos_dados_linguagem_imagens,0.22727272727272727,5
"LIRA, Melina Mongiovi Brito.",2023,2,2_alunos_computao_programao_sistema,0.25,4
"MASSONI, Tiago Lima.",2021,3,3_software_projetos_cdigo_bugs,0.375,6
"MASSONI, Tiago Lima.",2022,3,3_software_projetos_cdigo_bugs,0.25,4
"MASSONI, Tiago Lima.",2023,6,6_software_empresas_objetivo_vulnerabilidades,0.25,12
"MASSONI, Tiago Lima.",2024,2,2_alunos_computao_programao_sistema,0.19230769230769232,7
"MONTEIRO, João Arthur Brunet.",2021,4,4_dados_digital_sobre_privacidade,0.25,4
"MONTEIRO, João Arthur Brunet.",2022,0,0_modelos_dados_linguagem_imagens,0.16666666666666666,3
"MONTEIRO, João Arthur Brunet.",2023,6,6_software_empresas_objetivo_vulnerabilidades,0.20833333333333334,6
"MORAIS, Fábio Jorge Almeida.",2023,1,1_nuvem_recursos_dados_sistema,0.28125,10
"MORAIS, Fábio Jorge Almeida.",2024,0,0_modelos_dados_linguagem_imagens,0.2916666666666667,6
"MOURA, José Antão Beltrão.",2021,0,0_modelos_dados_linguagem_imagens,0.125,6
"MOURA, José Antão Beltrão.",2022,1,1_nuvem_recursos_dados_sistema,0.22727272727272727,5
"MOURA, José Antão Beltrão.",2023,3,3_software_projetos_cdigo_bugs,0.25,4
"OLIVEIRA, Maxwell Guimarães de.",2023,4,4_dados_digital_sobre_privacidade,0.2777777777777778,3
"PEREIRA, Eanes Torres.",2023,4,4_dados_digital_sobre_privacidade,0.2777777777777778,3
"PIRES, Carlos Eduardo Santos.",2021,2,2_alunos_computao_programao_sistema,0.16666666666666666,3
"PIRES, Carlos Eduardo Santos.",2023,4,4_dados_digital_sobre_privacidade,0.15,4
"RAMALHO, Franklin de Souza.",2020,0,0_modelos_dados_linguagem_imagens,0.16666666666666666,3
"RAMALHO, Franklin de Souza.",2022,3,3_software_projetos_cdigo_bugs,0.3888888888888889,3
"RAMALHO, Franklin de Souza.",2023,3,3_software_projetos_cdigo_bugs,0.3888888888888889,3
"RÊGO, Matheus Gaudencio do.",2021,3,3_software_projetos_cdigo_bugs,0.4090909090909091,5
"SABINO, Melina Mongiovi Cunha Lima.",2021,4,4_dados_digital_sobre_privacidade,0.15,4
"SILVA, Thiago Emmanuel Pereira da Cunha.",2021,1,1_nuvem_recursos_dados_sistema,0.3888888888888889,3
"SILVA, Thiago Emmanuel Pereira da Cunha.",2022,0,0_modelos_dados_linguagem_imagens,0.15,4
"SILVA, Thiago Emmanuel Pereira da Cunha.",2023,1,1_nuvem_recursos_dados_sistema,0.5,5
