orientador,topic,topic_label,years,slope_per_year,p_first,p_last
"MORAIS, Fábio Jorge Almeida.",0,0_modelos_dados_linguagem_imagens,2,0.19791666666666663,0.09375,0.2916666666666667
"BRUNET, João Arthur Monteiro.",0,0_modelos_dados_linguagem_imagens,2,0.12820512820512817,0.038461538461538464,0.16666666666666666
"MORAIS, Fábio Jorge Almeida.",4,4_dados_digital_sobre_privacidade,2,0.11458333333333331,0.09375,0.20833333333333334
"BRITO, Andrey Elísio Monteiro.",1,1_nuvem_recursos_dados_sistema,3,0.09722222222222221,0.05555555555555555,0.25
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2,2_alunos_computao_programao_sistema,2,0.08636363636363632,0.05,0.13636363636363635
"ARAÚJO, Joseana Macêdo Fechine Régis de.",9,9_ensino_alunos_atividades_evaso,2,0.08636363636363632,0.05,0.13636363636363635
"RAMALHO, Franklin de Souza.",3,3_software_projetos_cdigo_bugs,3,0.07936507936507936,0.16666666666666666,0.3888888888888889
"ARAÚJO, Joseana Macêdo Fechine Régis de.",0,0_modelos_dados_linguagem_imagens,2,0.07727272727272724,0.15,0.22727272727272727
"GHEYI, Rohit.",3,3_software_projetos_cdigo_bugs,2,0.07361111111111109,0.05555555555555555,0.35
"MOURA, José Antão Beltrão.",3,3_software_projetos_cdigo_bugs,3,0.062499999999999986,0.125,0.25
"GOMES, Herman Martins.",0,0_modelos_dados_linguagem_imagens,4,0.06198515769944338,0.05,0.22727272727272727
"SILVA, Thiago Emmanuel Pereira da Cunha.",1,1_nuvem_recursos_dados_sistema,3,0.05555555555555556,0.3888888888888889,0.5
"MASSONI, Tiago Lima.",2,2_alunos_computao_programao_sistema,4,0.05408119658119658,0.041666666666666664,0.19230769230769232
"BRUNET, João Arthur Monteiro.",3,3_software_projetos_cdigo_bugs,2,0.05128205128205125,0.11538461538461539,0.16666666666666666
"BRUNET, João Arthur Monteiro.",5,5_sade_animais_pandemia_dados,2,0.05128205128205125,0.11538461538461539,0.16666666666666666
"BRITO, Andrey Elísio Monteiro.",0,0_modelos_dados_linguagem_imagens,3,0.04722222222222221,0.05555555555555555,0.15
"PIRES, Carlos Eduardo Santos.",4,4_dados_digital_sobre_privacidade,2,0.04722222222222219,0.05555555555555555,0.15
"PIRES, Carlos Eduardo Santos.",5,5_sade_animais_pandemia_dados,2,0.04722222222222219,0.05555555555555555,0.15
"PIRES, Carlos Eduardo Santos.",8,8_dados_meio_aplicativos_anlise,2,0.04722222222222219,0.05555555555555555,0.15
"BAPTISTA, Cláudio de Souza.",8,8_dados_meio_aplicativos_anlise,3,0.0436813186813187,0.05,0.19230769230769232
"CAMPELO, Claudio Elízio Calazans.",1,1_nuvem_recursos_dados_sistema,4,0.04062499999999999,0.05,0.15
"CAMPOS, Lívia Maria Rodrigues Sampaio.",2,2_alunos_computao_programao_sistema,3,0.0396825396825397,0.16666666666666666,0.2777777777777778
"CAMPOS, Lívia Maria Rodrigues Sampaio.",9,9_ensino_alunos_atividades_evaso,3,0.039682539682539694,0.05555555555555555,0.16666666666666666
"MONTEIRO, João Arthur Brunet.",5,5_sade_animais_pandemia_dados,3,0.03749999999999999,0.05,0.125
"MONTEIRO, João Arthur Brunet.",7,7_dados_logs_sistemas_banco,3,0.03749999999999999,0.05,0.125
"MONTEIRO, João Arthur Brunet.",0,0_modelos_dados_linguagem_imagens,3,0.037499999999999985,0.05,0.125
"MONTEIRO, João Arthur Brunet.",3,3_software_projetos_cdigo_bugs,3,0.037499999999999985,0.05,0.125
"GOMES, Herman Martins.",5,5_sade_animais_pandemia_dados,4,0.037495361781076056,0.05,0.22727272727272727
"CAMPELO, Claudio Elízio Calazans.",3,3_software_projetos_cdigo_bugs,4,0.03437499999999999,0.05,0.15
"MASSONI, Tiago Lima.",0,0_modelos_dados_linguagem_imagens,4,0.031004273504273507,0.041666666666666664,0.11538461538461539
"CAMPELO, Claudio Elízio Calazans.",4,4_dados_digital_sobre_privacidade,4,0.030624999999999993,0.05,0.15
"MONTEIRO, João Arthur Brunet.",6,6_software_empresas_objetivo_vulnerabilidades,3,0.029166666666666667,0.15,0.20833333333333334
"GHEYI, Rohit.",0,0_modelos_dados_linguagem_imagens,2,0.023611111111111097,0.05555555555555555,0.15
"BAPTISTA, Cláudio de Souza.",6,6_software_empresas_objetivo_vulnerabilidades,3,0.02335164835164836,0.05,0.11538461538461539
"BAPTISTA, Cláudio de Souza.",7,7_dados_logs_sistemas_banco,3,0.02335164835164836,0.05,0.11538461538461539
"BAPTISTA, Cláudio de Souza.",1,1_nuvem_recursos_dados_sistema,3,0.022252747252747264,0.15,0.19230769230769232
"MASSONI, Tiago Lima.",4,4_dados_digital_sobre_privacidade,4,0.019893162393162394,0.041666666666666664,0.11538461538461539
"MASSONI, Tiago Lima.",5,5_sade_animais_pandemia_dados,4,0.01797008547008547,0.125,0.19230769230769232
"BRUNET, João Arthur Monteiro.",4,4_dados_digital_sobre_privacidade,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BRUNET, João Arthur Monteiro.",7,7_dados_logs_sistemas_banco,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BRUNET, João Arthur Monteiro.",8,8_dados_meio_aplicativos_anlise,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BRUNET, João Arthur Monteiro.",9,9_ensino_alunos_atividades_evaso,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BRUNET, João Arthur Monteiro.",10,10_oratio_projeto_solid_clean,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BRUNET, João Arthur Monteiro.",11,topic_11,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BAPTISTA, Cláudio de Souza.",0,0_modelos_dados_linguagem_imagens,3,0.016208791208791217,0.05,0.11538461538461539
"GOMES, Herman Martins.",6,6_software_empresas_objetivo_vulnerabilidades,4,0.0160482374768089,0.05,0.13636363636363635
"MOURA, José Antão Beltrão.",5,5_sade_animais_pandemia_dados,3,0.012499999999999999,0.125,0.15
"MOURA, José Antão Beltrão.",6,6_software_empresas_objetivo_vulnerabilidades,3,0.012499999999999995,0.125,0.15
"MORAIS, Fábio Jorge Almeida.",3,3_software_projetos_cdigo_bugs,2,0.010416666666666661,0.03125,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",5,5_sade_animais_pandemia_dados,2,0.010416666666666661,0.03125,0.041666666666666664
