orientador,ANO,topic,topic_label,P_topic_given_orientador_year,n_docs_orientador_year
"ALVES, Everton Leandro Galdino.",2023,6,6_software_empresas_objetivo_vulnerabilidades,0.2692307692307692,7
"ALVES, Everton Leandro Galdino.",2023,0,0_modelos_dados_linguagem_imagens,0.11538461538461539,7
"ALVES, Everton Leandro Galdino.",2023,2,2_alunos_computao_programao_sistema,0.11538461538461539,7
"ALVES, Everton Leandro Galdino.",2023,3,3_software_projetos_cdigo_bugs,0.11538461538461539,7
"ALVES, Everton Leandro Galdino.",2023,5,5_sade_animais_pandemia_dados,0.11538461538461539,7
"ALVES, Everton Leandro Galdino.",2023,1,1_nuvem_recursos_dados_sistema,0.038461538461538464,7
"ALVES, Everton Leandro Galdino.",2023,4,4_dados_digital_sobre_privacidade,0.038461538461538464,7
"ALVES, Everton Leandro Galdino.",2023,7,7_dados_logs_sistemas_banco,0.038461538461538464,7
"ALVES, Everton Leandro Galdino.",2023,8,8_dados_meio_aplicativos_anlise,0.038461538461538464,7
"ALVES, Everton Leandro Galdino.",2023,9,9_ensino_alunos_atividades_evaso,0.038461538461538464,7
"ALVES, Everton Leandro Galdino.",2023,10,10_oratio_projeto_solid_clean,0.038461538461538464,7
"ALVES, Everton Leandro Galdino.",2023,11,topic_11,0.038461538461538464,7
"ANDRADE, Nazareno Ferreira de.",2021,4,4_dados_digital_sobre_privacidade,0.25,4
"ANDRADE, Nazareno Ferreira de.",2021,0,0_modelos_dados_linguagem_imagens,0.15,4
"ANDRADE, Nazareno Ferreira de.",2021,5,5_sade_animais_pandemia_dados,0.15,4
"ANDRADE, Nazareno Ferreira de.",2021,1,1_nuvem_recursos_dados_sistema,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,2,2_alunos_computao_programao_sistema,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,3,3_software_projetos_cdigo_bugs,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,6,6_software_empresas_objetivo_vulnerabilidades,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,7,7_dados_logs_sistemas_banco,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,8,8_dados_meio_aplicativos_anlise,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,9,9_ensino_alunos_atividades_evaso,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,10,10_oratio_projeto_solid_clean,0.05,4
"ANDRADE, Nazareno Ferreira de.",2021,11,topic_11,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,1,1_nuvem_recursos_dados_sistema,0.15,4
"ANDRADE, Wilkerson de Lucena.",2023,5,5_sade_animais_pandemia_dados,0.15,4
"ANDRADE, Wilkerson de Lucena.",2023,6,6_software_empresas_objetivo_vulnerabilidades,0.15,4
"ANDRADE, Wilkerson de Lucena.",2023,9,9_ensino_alunos_atividades_evaso,0.15,4
"ANDRADE, Wilkerson de Lucena.",2023,0,0_modelos_dados_linguagem_imagens,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,2,2_alunos_computao_programao_sistema,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,3,3_software_projetos_cdigo_bugs,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,4,4_dados_digital_sobre_privacidade,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,7,7_dados_logs_sistemas_banco,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,8,8_dados_meio_aplicativos_anlise,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,10,10_oratio_projeto_solid_clean,0.05,4
"ANDRADE, Wilkerson de Lucena.",2023,11,topic_11,0.05,4
"ARAÚJO, Eliane Cristina de.",2023,2,2_alunos_computao_programao_sistema,0.16666666666666666,3
"ARAÚJO, Eliane Cristina de.",2023,6,6_software_empresas_objetivo_vulnerabilidades,0.16666666666666666,3
"ARAÚJO, Eliane Cristina de.",2023,9,9_ensino_alunos_atividades_evaso,0.16666666666666666,3
"ARAÚJO, Eliane Cristina de.",2023,0,0_modelos_dados_linguagem_imagens,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,1,1_nuvem_recursos_dados_sistema,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,3,3_software_projetos_cdigo_bugs,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,4,4_dados_digital_sobre_privacidade,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,5,5_sade_animais_pandemia_dados,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,7,7_dados_logs_sistemas_banco,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,8,8_dados_meio_aplicativos_anlise,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,10,10_oratio_projeto_solid_clean,0.05555555555555555,3
"ARAÚJO, Eliane Cristina de.",2023,11,topic_11,0.05555555555555555,3
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2021,1,1_nuvem_recursos_dados_sistema,0.25,4
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2021,0,0_modelos_dados_linguagem_imagens,0.15,4
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2021,5,5_sade_animais_pandemia_dados,0.15,4
