ANO,topic,n_topic,p_topic_given_year,topic_label
2020,0,2.0,0.08196721311475409,0_modelos_dados_linguagem_imagens
2020,1,1.0,0.04918032786885246,1_nuvem_recursos_dados_sistema
2020,2,4.0,0.14754098360655737,2_alunos_computao_programao_sistema
2020,3,1.0,0.04918032786885246,3_software_projetos_cdigo_bugs
2020,4,1.0,0.04918032786885246,4_dados_digital_sobre_privacidade
2020,5,1.0,0.04918032786885246,5_sade_animais_pandemia_dados
2020,6,1.0,0.04918032786885246,6_software_empresas_objetivo_vulnerabilidades
2020,7,2.0,0.08196721311475409,7_dados_logs_sistemas_banco
2020,8,0.0,0.01639344262295082,8_dados_meio_aplicativos_anlise
2020,9,0.0,0.01639344262295082,9_ensino_alunos_atividades_evaso
2020,10,12.0,0.4098360655737705,10_oratio_projeto_solid_clean
2021,0,6.0,0.08074534161490683,0_modelos_dados_linguagem_imagens
2021,1,10.0,0.13043478260869565,1_nuvem_recursos_dados_sistema
2021,2,8.0,0.10559006211180125,2_alunos_computao_programao_sistema
2021,3,15.0,0.19254658385093168,3_software_projetos_cdigo_bugs
2021,4,12.0,0.15527950310559005,4_dados_digital_sobre_privacidade
2021,5,9.0,0.11801242236024845,5_sade_animais_pandemia_dados
2021,6,6.0,0.08074534161490683,6_software_empresas_objetivo_vulnerabilidades
2021,7,5.0,0.06832298136645963,7_dados_logs_sistemas_banco
2021,8,1.0,0.018633540372670808,8_dados_meio_aplicativos_anlise
2021,9,2.0,0.031055900621118012,9_ensino_alunos_atividades_evaso
2021,10,1.0,0.018633540372670808,10_oratio_projeto_solid_clean
2022,0,10.0,0.14285714285714285,0_modelos_dados_linguagem_imagens
2022,1,9.0,0.1292517006802721,1_nuvem_recursos_dados_sistema
2022,2,10.0,0.14285714285714285,2_alunos_computao_programao_sistema
2022,3,7.0,0.10204081632653061,3_software_projetos_cdigo_bugs
2022,4,7.0,0.10204081632653061,4_dados_digital_sobre_privacidade
2022,5,7.0,0.10204081632653061,5_sade_animais_pandemia_dados
2022,6,4.0,0.061224489795918366,6_software_empresas_objetivo_vulnerabilidades
2022,7,3.0,0.047619047619047616,7_dados_logs_sistemas_banco
2022,8,4.0,0.061224489795918366,8_dados_meio_aplicativos_anlise
2022,9,6.0,0.08843537414965986,9_ensino_alunos_atividades_evaso
2022,10,1.0,0.02040816326530612,10_oratio_projeto_solid_clean
2023,0,19.0,0.14942528735632185,0_modelos_dados_linguagem_imagens
2023,1,21.0,0.16475095785440613,1_nuvem_recursos_dados_sistema
2023,2,15.0,0.11877394636015326,2_alunos_computao_programao_sistema
2023,3,13.0,0.10344827586206896,3_software_projetos_cdigo_bugs
2023,4,11.0,0.08812260536398467,4_dados_digital_sobre_privacidade
2023,5,12.0,0.09578544061302682,5_sade_animais_pandemia_dados
2023,6,16.0,0.12643678160919541,6_software_empresas_objetivo_vulnerabilidades
2023,7,5.0,0.0421455938697318,7_dados_logs_sistemas_banco
2023,8,8.0,0.06513409961685823,8_dados_meio_aplicativos_anlise
2023,9,4.0,0.034482758620689655,9_ensino_alunos_atividades_evaso
2023,10,1.0,0.011494252873563218,10_oratio_projeto_solid_clean
2024,0,15.0,0.2080536912751678,0_modelos_dados_linguagem_imagens
2024,1,10.0,0.14093959731543623,1_nuvem_recursos_dados_sistema
2024,2,7.0,0.10067114093959731,2_alunos_computao_programao_sistema
2024,3,6.0,0.087248322147651,3_software_projetos_cdigo_bugs
2024,4,8.0,0.11409395973154363,4_dados_digital_sobre_privacidade
2024,5,8.0,0.11409395973154363,5_sade_animais_pandemia_dados
2024,6,7.0,0.10067114093959731,6_software_empresas_objetivo_vulnerabilidades
2024,7,2.0,0.03355704697986577,7_dados_logs_sistemas_banco
2024,8,3.0,0.04697986577181208,8_dados_meio_aplicativos_anlise
2024,9,3.0,0.04697986577181208,9_ensino_alunos_atividades_evaso
2024,10,0.0,0.006711409395973154,10_oratio_projeto_solid_clean
