DOC_ID,titulo,causa,tem_url
280,A case study of proactive auto-scaling for an ecommerce workload.,NaN_no_resumo,True
346,Using a thesaurus in traceability recovery between bug reports and test cases.,NaN_no_resumo,True
349,Performance analysis between Apache Kafka and RabbitMQ.,NaN_no_resumo,True
350,A resilient and cloud-based batch processing system for high performance computing.,NaN_no_resumo,True
352,Evaluating Karate-do movements using Kinect V2 camera and tools.,NaN_no_resumo,True
355,Evolucionary procedural content generation for a endless platform game.,NaN_no_resumo,True
357,Implementação do garbage collector control interceptor para .net core common language runtime,NaN_no_resumo,True
358,Proposal of a low­cost device to support remote  diabetic retinopathy detecting based on fundus images.,NaN_no_resumo,True
363,Most higher mutants are useless for method-level mutation operators using weak mutation.,NaN_no_resumo,True
364,Challenges in the use of Scrum in Global Software Engineering and how to face them.,NaN_no_resumo,True
366,Consumerhub: a product’s review platform.,NaN_no_resumo,True
368,Optimizing aho­corasick for word counting.,NaN_no_resumo,True
369,A survey on developer’s intention upon refactoring:  Assessing refactoringminer’s efficacy.,NaN_no_resumo,True
422,AutoFormValidation: validação dinâmica baseada nos metadados do banco de dados da aplicação.,NaN_no_resumo,True
