token_id,token,df
110,utilizar,186
199,trabalho,180
141,objetivo,142
126,dado,138
153,uso,134
40,usuario,121
75,estudo,117
77,ferramenta,113
34,resultado,110
61,contexto,109
189,realizar,109
265,aplicacao,99
88,modelo,93
47,analise,92
8,desenvolvimento,90
248,permitir,90
30,problema,90
238,desenvolver,89
184,outro,89
146,processo,85
19,informacao,83
116,analisar,79
223,projeto,79
388,apresentar,78
221,pesquisa,75
480,algum,74
37,solucao,73
2,avaliar,70
113,visar,70
22,necessidade,69
29,principal,69
417,criar,68
331,plataforma,67
400,possuir,66
79,identificar,65
345,avaliacao,64
230,ambiente,63
287,tornar,63
54,auxiliar,62
196,tecnologia,62
71,entanto,59
451,gerar,59
78,haver,59
209,desempenho,58
25,oferecer,58
160,basear,57
700,aluno,55
203,buscar,55
355,diversos,55
42,web,55
43,abordagem,54
343,ano,54
32,propor,54
254,relacionar,53
855,empresa,52
492,existir,52
253,qualidade,52
36,servico,52
104,tecnica,52
131,garantir,51
24,obter,51
334,pratica,51
193,software,51
3,caso,50
608,facilitar,50
551,pessoa,50
437,recurso,50
155,utilizacao,49
487,criacao,48
543,encontrar,48
219,importante,48
38,tarefa,48
571,alto,47
605,considerar,46
270,devido,46
68,diferentes,46
640,funcionalidade,46
87,melhorar,46
139,necessario,46
92,publico,46
259,teste,46
235,comum,45
49,aplicar,44
65,desafio,44
1,atividade,43
120,cenario,43
13,fornecer,43
243,incluir,43
162,codigo,42
615,presente,42
39,trabalho_objetivo,42
231,aplicativo,41
656,atualmente,41
233,base,41
465,diferente,41
103,surgir,41
161,capacidade,40
237,contribuir,40
798,curso,40
313,digital,40
272,eficiente,40
133,impacto,39
296,artigo,38
10,disponivel,38
356,durante,38
12,eficaz,38
577,estrategia,38
90,potencial,38
291,acesso,37
72,entretanto,37
279,maneira,37
397,mostrar,37
529,seguranca,37
157,aumentar,36
414,caracteristica,36
745,brasil,35
306,conhecimento,35
307,construcao,35
127,demonstrar,35
165,desenvolvedor,35
134,implementacao,35
581,melhoria,35
643,organizacao,35
288,academico,34
588,base_dado,34
163,complexo,34
67,destacar,34
726,metodo,34
91,profissional,34
224,relevante,34
454,significativo,34
118,busca,33
589,capaz,33
394,eficiencia,33
129,envolver,33
470,gerenciamento,33
813,trabalho_propor,33
540,custo,32
488,diverso,32
159,automatico,31
82,interesse,31
181,observar,31
102,saude,31
412,algoritmos,30
9,determinar,30
312,dever,30
748,padrao,30
569,real,30
258,tema,30
340,universidade_federal,30
533,ajudar,29
765,ensino,29
766,facil,29
471,gestao,29
714,interface,29
687,metodologia,29
521,metrica,29
503,quantidade,29
96,reduzir,29
100,representar,29
371,resultado_obter,29
257,social,29
410,verificar,29
289,acao,28
784,aspecto,28
482,brasileiro,28
852,comportamento,28
351,conjunto,28
360,fator,28
591,futuro,28
135,implementar,28
20,manter,28
260,trazer,28
821,abordar,27
387,adotar,27
57,comparar,27
308,conteudo,27
801,dificuldade,27
877,disponibilizar,27
212,equipe,27
710,estudante,27
447,execucao,27
325,fundamental,27
16,gerenciar,27
220,levar,27
26,pequeno,27
27,precisar,27
33,proposta,27
374,versao,27
48,apesar,26
484,computacao,26
166,desenvolvimento_software,26
658,deteccao,26
130,experiencia,26
81,importancia,26
789,intuito,26
179,mercado,26
333,possibilitar,26
647,realizacao,26
192,simples,26
4,cliente,25
121,complexidade,25
267,componente,25
58,compreensao,25
236,comunidade,25
486,conseguir,25
309,dentre,25
214,especifico,25
448,executar,25
364,longo,25
452,principalmente,25
646,produto,25
717,requisito,25
263,vida,25
442,aplicacao_web,24
674,aumento,24
702,campina,24
603,comparacao,24
122,compreender,24
431,controle,24
315,documento,24
211,entender,24
145,presente_trabalho,24
94,rapido,24
150,site,24
653,texto,24
108,treinamento,24
440,algoritmo,23
202,atual,23
445,beneficio,23
390,campo,23
416,crescente,23
764,desenvolvimento_aplicacao,23
622,evolucao,23
86,manual,23
669,pratico,23
251,promover,23
226,sucesso,23
556,vir,23
558,aprimorar,22
123,conceito,22
73,erro,22
562,existente,22
433,foco,22
715,mudanca,22
384,mundo,22
142,otimizar,22
829,professor,22
649,resposta,22
505,sociedade,22
228,tecnico,22
339,ufcg,22
506,acordo,21
52,arquitetura,21
619,avanco,21
604,conjunto_dado,21
799,curso_ciencia,21
802,disciplina,21
446,eficacia,21
432,essencial,21
278,humano,21
547,indicar,21
137,medida,21
249,populacao,21
144,positivo,21
401,precisao,21
424,rede,21
372,resultar,21
341,voltar,21
295,analise_dado,20
429,atender,20
