motivo_exclusao,titulo,ano,orientador,resumo
sem_texto,A case study of proactive auto-scaling for an ecommerce workload.,2022,"SILVA, Thiago Emmanuel Pereira da Cunha.",
sem_texto,Using a thesaurus in traceability recovery between bug reports and test cases.,2020,"RAMALHO, Franklin de Souza.",
sem_texto,Performance analysis between Apache Kafka and RabbitMQ.,2020,"SILVA, Thiago Emmanuel Pereira da Cunha.",
sem_texto,A resilient and cloud-based batch processing system for high performance computing.,2020,"BRASILEIRO, Francisco Vilar.",
sem_texto,Evaluating Karate-do movements using Kinect V2 camera and tools.,2020,"GOMES, Herman Martins.",
sem_texto,Evolucionary procedural content generation for a endless platform game.,2020,"GOMES, Herman Martins.",
sem_texto,Implementação do garbage collector control interceptor para .net core common language runtime,2020,"SILVA, Thiago Emmanuel Pereira da Cunha.",
sem_texto,Proposal of a low­cost device to support remote  diabetic retinopathy detecting based on fundus images.,2020,"GOMES, Herman Martins.",
sem_texto,Most higher mutants are useless for method-level mutation operators using weak mutation.,2020,"GHEYI, Rohit.",
sem_texto,Challenges in the use of Scrum in Global Software Engineering and how to face them.,2020,"MOURA, José Antão Beltrão.",
sem_texto,Consumerhub: a product’s review platform.,2020,"ARAÚJO, Eliane Cristina de.",
sem_texto,Optimizing aho­corasick for word counting.,2020,"GHEYI, Rohit.",
sem_texto,A survey on developer’s intention upon refactoring:  Assessing refactoringminer’s efficacy.,2020,"GHEYI , Rohit.",
sem_texto,AutoFormValidation: validação dinâmica baseada nos metadados do banco de dados da aplicação.,2021,"OLIVEIRA, Maxwell Guimarães de.",
