orientador,total,vazios,pct_vazios
"GOMES, Herman Martins.",26,2,0.07692307692307693
"SILVA, Thiago Emmanuel Pereira da Cunha.",19,2,0.10526315789473684
"GHEYI, Rohit.",8,2,0.25
"OLIVEIRA, Maxwell Guimarães de.",5,1,0.2
"RAMALHO, Franklin de Souza.",2,1,0.5
"ARAÚJO, Eliane Cristina de.",1,1,1.0
"BRASILEIRO, Francisco Vilar.",1,1,1.0
"GHEYI , Rohit.",1,1,1.0
"GOMES, Herman Martins.",1,1,1.0
"MOURA, José Antão Beltrão.",1,1,1.0
"SILVA, Thiago Emmanuel Pereira da Cunha.",1,1,1.0
"MASSONI, Tiago Lima.",32,0,0.0
"MORAIS, Fábio Jorge Almeida.",22,0,0.0
"BAPTISTA, Cláudio de Souza.",18,0,0.0
"MOURA, José Antão Beltrão.",16,0,0.0
"CAMPELO, Claudio Elízio Calazans.",15,0,0.0
"MONTEIRO, João Arthur Brunet.",15,0,0.0
"ALVES, Everton Leandro Galdino.",13,0,0.0
"ARAÚJO, Joseana Macêdo Fechine Régis de.",12,0,0.0
"CAMPOS, Lívia Maria Rodrigues Sampaio.",12,0,0.0
"CAMPELO, Cláudio Elízio Calazans.",11,0,0.0
"ANDRADE, Wilkerson de Lucena.",10,0,0.0
"ARAÚJO, Eliane Cristina de.",10,0,0.0
"BRUNET, João Arthur Monteiro.",10,0,0.0
"PEREIRA, Eanes Torres.",10,0,0.0
"RAMALHO, Franklin de Souza.",9,0,0.0
"BARROS, Marcelo Alves de.",8,0,0.0
"BRITO, Andrey Elísio Monteiro.",8,0,0.0
"MARINHO, Leandro Balby.",8,0,0.0
"BRASILEIRO, Francisco Vilar.",7,0,0.0
"FARIAS, Adalberto Cajueiro de.",7,0,0.0
"GARCIA, Francilene Procópio.",7,0,0.0
"PIRES, Carlos Eduardo Santos.",7,0,0.0
"SABINO, Melina Mongiovi Cunha Lima.",6,0,0.0
"ALMEIDA, Hyggo Oliveira de.",5,0,0.0
"ANDRADE, Nazareno Ferreira de.",5,0,0.0
"FECHINE, Joseana Macêdo.",5,0,0.0
"GOMES, Reinaldo Cézar de Morais.",5,0,0.0
"RÊGO, Matheus Gaudencio do.",5,0,0.0
"BRITO, Andrey Elisio Monteiro.",4,0,0.0
"GUERRERO, Dalton Dario Serey.",4,0,0.0
"LIRA, Melina Mongiovi Brito.",4,0,0.0
"MONGIOVI, Melina.",3,0,0.0
"PEREIRA, Thiago Emmanuel.",3,0,0.0
"ARAÚJO, Joseana Macêdo Fechine Régis de.",2,0,0.0
"GARCIA, Franceline Procópio.",2,0,0.0
"GHEYI, Rohit Gheyi.",2,0,0.0
"GORGÔNIO, Kyller Costa.",2,0,0.0
"MASSONI, Tiago Lima.",2,0,0.0
"MELCHER, Elmar Uwe Kurt.",2,0,0.0
"PEREIRA, Thiago Emmanuel da Cunha Silva.",2,0,0.0
"PIRES, Carlos Eduardo Santos.",2,0,0.0
"ANDRADE , Wilkerson de Lucena.",1,0,0.0
"ARAÚJO, Elaine Cristina de.",1,0,0.0
"BAPTISTA, Claudio de Souza.",1,0,0.0
"CAMPELO, Claudio Elízio Calazans.",1,0,0.0
"CAMPOS, Lívia Maria Rodrigues Sampaio",1,0,0.0
"CAMPOS, Lívia Maria Sampaio.",1,0,0.0
"CAMPOS,  Lívia Maria Sampaio.",1,0,0.0
"FARIA, Roberto Medeiros de.",1,0,0.0
"GARCIA,  Francilene Procópio.",1,0,0.0
"GHEYI, Rohit",1,0,0.0
"GHEYI, Rohit .",1,0,0.0
"GOMES, Reinaldo Cezar de Morais.",1,0,0.0
"MARINHO, Leandro Balby.",1,0,0.0
"MONTEIRO,  João Arthur Brunet.",1,0,0.0
"MORAES, Fábio Jorge Almeida.",1,0,0.0
"MORAIS, Fabio Jorge Almeida.",1,0,0.0
"Marinho, Leandro Balby",1,0,0.0
"NICOLLETTI, Pedro Sergio.",1,0,0.0
"PIRES , Carlos Eduardo Santos.",1,0,0.0
"PROCÓPIO, Francilene García.",1,0,0.0
"REGO , Matheus Gaudêncio do.",1,0,0.0
"REGO, Matheus Gaudêncio de.",1,0,0.0
"RÊGO, Matheus Gaudêncio do.",1,0,0.0
"SAMPAIO, Lívia Maria Rodrigues Sampaio.",1,0,0.0
"SILVA, Emmanuel Pereira da Cunha.",1,0,0.0
