trial_id,c_npmi,topic_diversity,outlier_rate,n_topics,r1,r2,r3,rank_sum
trial_00,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,3.0
trial_12,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,3.0
trial_16,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,3.0
trial_17,-0.05465022321180647,1.0,0.0,2,1.0,1.0,1.0,3.0
trial_21,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_22,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_25,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_26,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_27,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_29,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_32,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_33,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_35,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_38,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_39,-0.13173657708417563,1.0,0.0,2,6.0,1.0,1.0,8.0
trial_09,-0.12387184095468037,0.9,0.0,3,5.0,26.0,1.0,32.0
trial_23,-0.13173657708417563,0.7,0.0,2,6.0,35.0,1.0,42.0
trial_24,-0.13173657708417563,0.7,0.0,2,6.0,35.0,1.0,42.0
trial_31,-0.13173657708417563,0.7,0.0,2,6.0,35.0,1.0,42.0
trial_34,-0.13173657708417563,0.7,0.0,2,6.0,35.0,1.0,42.0
trial_36,-0.13173657708417563,0.7,0.0,2,6.0,35.0,1.0,42.0
trial_37,-0.13173657708417563,0.7,0.0,2,6.0,35.0,1.0,42.0
trial_10,-0.23560302755605625,0.912,0.15130023640661938,26,29.0,22.0,27.0,78.0
trial_01,-0.22644677976219332,0.9037037037037037,0.1607565011820331,28,26.0,25.0,28.0,79.0
trial_15,-0.22365894053171673,0.98,0.44208037825059104,5,25.0,16.0,39.0,80.0
trial_07,-0.18981657567726912,0.8444444444444444,0.1016548463356974,19,23.0,34.0,24.0,81.0
trial_11,-0.20445586606992922,0.85625,0.17494089834515367,17,24.0,31.0,29.0,84.0
trial_20,-0.2346120888049705,0.85,0.06855791962174941,19,28.0,33.0,23.0,84.0
trial_02,-0.23064027069318024,0.8526315789473684,0.13947990543735225,20,27.0,32.0,26.0,85.0
trial_13,-0.2437681139806527,0.95,0.35697399527186763,8,30.0,20.0,37.0,87.0
trial_08,-0.24472603461693318,0.9666666666666667,0.541371158392435,6,32.0,17.0,40.0,89.0
trial_19,-0.27807183257352747,0.8852941176470588,0.13238770685579196,35,36.0,29.0,25.0,90.0
trial_06,-0.24440027853342283,0.8909090909090909,0.25059101654846333,11,31.0,28.0,32.0,91.0
trial_03,-0.2666129999353658,0.9,0.18912529550827423,11,35.0,26.0,30.0,91.0
trial_28,-0.34073578560289314,0.9666666666666667,0.29550827423167847,3,40.0,17.0,34.0,91.0
trial_14,-0.26102174887787966,0.9111111111111111,0.3073286052009456,9,34.0,23.0,35.0,92.0
trial_04,-0.2843708771437349,0.91,0.20567375886524822,10,37.0,24.0,31.0,92.0
trial_30,-0.3060035079809234,0.9666666666666667,0.35697399527186763,3,39.0,17.0,37.0,93.0
trial_18,-0.29256709460960484,0.9333333333333333,0.3380614657210402,3,38.0,21.0,36.0,95.0
trial_05,-0.2593120784194921,0.88,0.2576832151300236,10,33.0,30.0,33.0,96.0
