trial_id,c_npmi,topic_diversity,outlier_rate,n_topics,n_topics_penalty,r1,r2,r3,rank_sum
trial_01,0.0922712263711094,1.0,0.0,2,0.75,1.0,1.0,1.0,3.75
trial_12,0.0922712263711094,1.0,0.0,2,0.75,1.0,1.0,1.0,3.75
trial_18,0.0922712263711094,1.0,0.0,2,0.75,1.0,1.0,1.0,3.75
trial_00,-0.0062934052913052275,1.0,0.0,2,0.75,11.0,1.0,1.0,13.75
trial_13,-0.0062934052913052275,1.0,0.0,2,0.75,11.0,1.0,1.0,13.75
trial_14,-0.0062934052913052275,1.0,0.0,2,0.75,11.0,1.0,1.0,13.75
trial_37,-0.006463863099069905,1.0,0.0,2,0.75,14.0,1.0,1.0,16.75
trial_21,-0.041480045758996754,1.0,0.0,2,0.75,20.0,1.0,1.0,22.75
trial_34,-0.041480045758996754,1.0,0.0,2,0.75,20.0,1.0,1.0,22.75
trial_26,0.0777613241711474,0.7,0.0,2,0.75,4.0,39.0,1.0,44.75
trial_27,0.0777613241711474,0.7,0.0,2,0.75,4.0,39.0,1.0,44.75
trial_30,0.05220090977468885,0.7818181818181819,0.14420803782505912,11,0.0,6.0,35.0,15.0,56.0
trial_10,-0.10046016966277538,0.9181818181818182,0.20803782505910165,11,0.0,29.0,16.0,19.0,64.0
trial_08,-0.018065021604744626,0.7647058823529411,0.11347517730496454,18,0.0,16.0,37.0,13.0,66.0
trial_05,-0.04894245021174696,0.8444444444444444,0.1016548463356974,19,0.0,22.0,32.0,12.0,66.0
trial_06,-0.08134444944323269,0.9090909090909091,0.14657210401891252,23,0.0,28.0,22.0,16.0,66.0
trial_38,0.03983104990483032,0.9,0.49645390070921985,8,0.0,8.0,23.0,39.0,70.0
trial_39,0.038568319899243156,0.7777777777777778,0.25059101654846333,9,0.0,9.0,36.0,26.0,71.0
trial_29,-0.017807120684752594,0.8909090909090909,0.32860520094562645,11,0.0,15.0,26.0,31.0,72.0
trial_22,-0.022375848864955843,0.8875,0.28132387706855794,8,0.0,17.0,28.0,27.0,72.0
trial_23,-0.022375848864955843,0.8875,0.28132387706855794,8,0.0,17.0,28.0,27.0,72.0
trial_33,-0.05567851997278423,0.9166666666666666,0.3640661938534279,18,0.0,23.0,17.0,32.0,72.0
trial_35,-0.06857951440236548,0.92,0.3806146572104019,15,0.0,24.0,14.0,34.0,72.0
trial_36,-0.06857951440236548,0.92,0.3806146572104019,15,0.0,24.0,14.0,34.0,72.0
trial_07,-0.12553149513027487,0.9,0.1276595744680851,26,0.0,36.0,23.0,14.0,73.0
trial_15,0.04606981699409122,0.7583333333333333,0.2907801418439716,13,0.0,7.0,38.0,29.0,74.0
trial_28,0.011058662640334456,0.85,0.37825059101654845,8,0.0,10.0,31.0,33.0,74.0
trial_24,-0.024834334016197543,0.8,0.2198581560283688,10,0.0,19.0,34.0,21.0,74.0
trial_20,-0.12321495093147472,0.9,0.19621749408983452,25,0.0,34.0,23.0,18.0,75.0
trial_31,-0.07538287814342767,0.98,0.6264775413711584,5,0.375,26.0,10.0,40.0,76.375
trial_17,-0.0768749190863006,0.8317073170731707,0.18439716312056736,42,0.4,27.0,33.0,17.0,77.4
trial_09,-0.10218554407235712,0.8888888888888888,0.21040189125295508,28,0.0,31.0,27.0,20.0,78.0
trial_03,-0.12541309004263917,0.9133333333333333,0.2293144208037825,31,0.03333333333333333,35.0,20.0,23.0,78.03333333333333
trial_11,-0.18132291889234897,0.9166666666666666,0.2293144208037825,6,0.25,39.0,17.0,23.0,79.25
trial_04,-0.12632822477480893,0.9133333333333333,0.2293144208037825,31,0.03333333333333333,37.0,20.0,23.0,80.03333333333333
trial_02,-0.10927447881795108,0.98,0.491725768321513,5,0.375,32.0,10.0,38.0,80.375
trial_19,-0.1945540551019756,0.9444444444444444,0.3120567375886525,9,0.0,40.0,12.0,30.0,82.0
trial_32,-0.10934126684352935,0.8852941176470588,0.2198581560283688,34,0.13333333333333333,33.0,30.0,21.0,84.13333333333334
trial_25,-0.10214023946217451,0.9136363636363637,0.39243498817966904,22,0.0,30.0,19.0,36.0,85.0
trial_16,-0.14044239035635786,0.9375,0.4373522458628842,8,0.0,38.0,13.0,37.0,88.0
