trial_id,n_topics,out_rate,c_npmi,c_uci,umap_used,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,hdb_method,vec_ngr,vec_min_df,vec_max_df
trial_00,2,0.0,-0.05465022321180647,-0.9100926475958685,True,10.0,5.0,0.0,10,,eom,"(1, 1)",2,0.9
trial_01,2,0.0,-0.05465022321180647,-0.9100926475958685,True,5.0,5.0,0.0,10,,eom,"(1, 2)",2,0.95
trial_02,4,0.36879432624113473,-0.25302996081359413,-8.364762990120532,True,5.0,5.0,0.0,15,,eom,"(1, 3)",2,0.95
trial_03,31,0.2293144208037825,-0.26363475378187246,-8.89608485216141,True,5.0,10.0,0.0,5,5.0,leaf,"(1, 1)",1,0.95
trial_04,31,0.2293144208037825,-0.2645175032954195,-8.878906111612093,True,5.0,10.0,0.0,5,5.0,leaf,"(1, 1)",3,0.99
trial_05,23,0.14657210401891252,-0.2121615816350058,-7.861007769397381,True,5.0,15.0,0.0,5,,eom,"(1, 2)",2,0.95
trial_06,18,0.11347517730496454,-0.18459748009278573,-6.233820141067094,True,5.0,15.0,0.0,10,1.0,eom,"(1, 3)",2,0.95
trial_07,27,0.1702127659574468,-0.22725834491092922,-8.138979655992081,True,10.0,5.0,0.0,8,1.0,leaf,"(1, 2)",3,0.95
trial_08,10,0.3120567375886525,-0.2731906031638628,-8.895562283763246,True,10.0,5.0,0.0,15,1.0,eom,"(1, 1)",1,0.95
trial_09,9,0.3073286052009456,-0.26102174887787966,-8.74202821098553,True,10.0,5.0,0.0,15,5.0,eom,"(1, 3)",2,0.95
trial_10,2,0.0,-0.05465022321180647,-0.9100926475958685,True,10.0,10.0,0.0,5,,eom,"(1, 2)",1,0.99
trial_11,2,0.0,-0.05465022321180647,-0.9100926475958685,True,10.0,10.0,0.0,8,5.0,eom,"(1, 1)",1,0.95
trial_12,8,0.4373522458628842,-0.3103773384762153,-9.982300123422476,True,10.0,10.0,0.0,15,5.0,leaf,"(1, 1)",1,0.99
trial_13,2,0.0,-0.05465022321180647,-0.9100926475958685,True,10.0,15.0,0.0,10,,eom,"(1, 2)",3,0.99
trial_14,9,0.3120567375886525,-0.29284022088173467,-9.659662218045916,True,10.0,15.0,0.0,15,5.0,eom,"(1, 2)",3,0.99
trial_15,25,0.19621749408983452,-0.267536047200984,-9.03409313907111,True,15.0,5.0,0.0,8,1.0,leaf,"(1, 1)",3,0.95
trial_16,2,0.0,-0.13173657708417563,-4.125353226738799,True,15.0,10.0,0.0,8,1.0,eom,"(1, 2)",3,0.95
trial_17,8,0.28132387706855794,-0.17216175750472057,-5.958380100675376,True,15.0,10.0,0.0,15,5.0,leaf,"(1, 1)",1,0.99
trial_18,10,0.2198581560283688,-0.18681757697402013,-5.965837181522204,True,15.0,15.0,0.0,15,1.0,leaf,"(1, 2)",3,0.99
trial_19,22,0.39243498817966904,-0.2000975474870876,-7.654399002808929,True,30.0,5.0,0.0,5,,leaf,"(1, 2)",3,0.99
trial_20,2,0.0,-0.13173657708417563,-4.125353226738798,True,30.0,5.0,0.0,8,,eom,"(1, 1)",3,0.95
trial_21,2,0.0,-0.13173657708417563,-4.125353226738798,True,30.0,5.0,0.0,10,5.0,eom,"(1, 1)",1,0.95
trial_22,8,0.37825059101654845,-0.1684969695514918,-5.489519298254844,True,30.0,5.0,0.0,15,5.0,leaf,"(1, 2)",2,0.95
